AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0.30122808,0.21067101,0.90142936,0.331562,0.28702283,1.0,0.49875814,0.041383527,1.0,0.14858729,0.6326424,0.05486638,0.31296802,0.0,0.37029842,0.24564993,0.91126186,0.34596422,0.15923683,0.19189662
0.38063478,0.2657804,0.45855644,0.380114,0.22472262,0.0,0.279742,0.00081317755,0.0,0.16856933,0.22432819,0.10214003,0.5037961,0.0,0.4678886,0.37688425,0.91506344,0.06083695,0.11925659,0.20271958
0.31844297,0.13771927,0.69020355,0.32814926,0.44948933,0.0,0.5236531,0.23796803,1.0,0.3271825,0.5369781,0.6594847,0.44071588,0.0,0.43427658,0.45021453,0.21601306,0.15784763,0.16546673,0.20001185
0.40051168,0.29989967,0.77546555,0.32016313,0.17263342,1.0,0.42195427,0.16072793,1.0,0.23934147,0.29007265,0.4661748,0.3856061,1.0,0.2473556,0.14354816,0.88131857,0.25976184,0.019404957,0.1254193
0.25899413,0.232178,0.25499046,0.26768368,0.33620667,1.0,0.35882658,0.586589,1.0,0.14261004,0.7214536,0.19364642,0.3746765,1.0,0.41791245,0.64140743,0.41300267,0.27964595,0.4937812,0.5316668
0.49014077,0.34607092,0.5717885,0.43985543,0.12835027,0.0,0.17674017,0.026910681,0.0,0.08479422,0.4801543,0.28861856,0.61464536,0.0,0.55909485,0.538122,0.025693394,0.22064939,0.10694477,0.068214655
0.3762348,0.13626516,0.73307574,0.31897947,0.39260074,0.0,0.53853804,0.501608,1.0,0.2313979,0.48811364,0.16434893,0.44679433,1.0,0.54694563,0.2493983,0.9982772,0.5467343,0.037312053,0.6910358
0.6093955,0.36875933,0.8029938,0.32237142,0.5264698,0.0,0.5433076,0.51815575,1.0,0.24583375,0.26312834,0.16985139,0.380333,1.0,0.66702586,0.052969486,0.998938,0.78135985,0.035998426,0.28130487
0.2166966,0.14138837,0.6213574,0.3020206,0.30496678,0.0,0.47392628,0.011384033,0.0,0.20856081,0.3686207,0.20660774,0.2973206,1.0,0.60106176,0.25455362,0.98808634,0.505427,0.19544712,0.669856
0.3819432,0.13710113,0.8191111,0.23306778,0.37931654,1.0,0.6904032,0.6221618,1.0,0.28760758,0.35456094,0.17999664,0.28484523,1.0,0.22783408,0.024419904,0.999833,0.85429883,0.023864636,0.6689007
0.33940488,0.19430132,0.50283885,0.3287663,0.5546217,0.0,0.5485444,0.9575863,0.0,0.50570476,0.45373836,0.52083176,0.5438411,1.0,0.5292805,0.6421839,0.9412525,0.42039436,0.026381405,0.8138176
0.24831517,0.30289808,0.44573772,0.26730654,0.39903295,0.0,0.27136302,0.2574645,0.0,0.32171482,0.58313656,0.38767344,0.45971596,0.0,0.21494855,0.68950516,0.009054293,0.034620203,0.26223338,0.21481572
0.51547563,0.36495054,0.41440007,0.3973915,0.12846771,0.0,0.39401042,0.03492042,0.0,0.4356871,0.23496357,0.34700838,0.4114086,0.0,0.5433028,0.46661606,0.92182547,0.31017667,0.6663815,0.20092848
0.47748616,0.19922523,0.7094995,0.2443946,0.14493771,0.0,0.7567762,0.9768523,0.0,0.090450555,0.41284227,0.44241482,0.39901072,1.0,0.67043686,0.12206239,0.9989066,0.2536679,0.18169543,0.23022789
0.40303206,0.20697461,0.46847808,0.31924757,0.41124249,1.0,0.41116384,0.27659476,1.0,0.31630027,0.44023743,0.47302786,0.27463025,1.0,0.5773778,0.027475258,0.99970716,0.7404569,0.43722275,0.42035076
0.2522564,0.17421648,0.6070346,0.24043621,0.4109875,0.0,0.3731823,0.13522336,0.0,0.41024268,0.5916427,0.49647444,0.46896267,0.0,0.55889326,0.20223993,0.7943508,0.25088954,0.041386448,0.28354013
